speed=0.1
365;210
372;203
380;203
381;204
383;207
385;209
385;212
385;215
384;218
381;226
378;228
370;230
363;228
356;225
354;222
352;215
352;204
355;200
362;191
372;186
374;186
380;184
389;184
391;185
397;191
403;196
407;202
409;209
410;220
408;228
406;231
403;236
399;242
388;257
383;258
370;259
359;259
353;257
347;255
336;244
334;240
333;237
332;224
333;213
334;210
338;204
341;198
344;190
352;179
356;175
364;170
372;165
376;164
386;163
394;163
400;163
405;165
420;170
426;174
433;190
435;200
436;206
437;214
437;223
436;233
435;235
428;251
426;255
424;257
420;262
414;268
402;278
396;280
386;284
380;285
378;285
373;286
367;287
350;284
344;283
339;280
327;272
319;263
318;261
313;249
313;241
312;225
309;212
310;210
310;207
313;202
322;188
329;177
334;173
341;167
347;157
367;147
372;146
387;141
397;141
404;140
411;141
430;142
435;144
438;145
445;149
459;162
464;173
469;187
474;201
477;214
